Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
143,26,Sumatera,Riau,Kabupaten,Kuantan Singingi,Kabupaten Kuantan Singingi,-0.45251,101.45289,29511,3354275,345850,1159274222759,0.00379
144,26,Sumatera,Riau,Kota,Pekanbaru,Kota Pekanbaru,0.534482,101.447679,28111,3319023,1007540,3337398507620,0.01091
145,26,Sumatera,Riau,Kabupaten,Pelalawan,Kabupaten Pelalawan,0.160037,102.258579,28383,3287623,410988,1350362203784,0.00441
146,26,Sumatera,Riau,Kabupaten,Rokan Hilir,Kabupaten Rokan Hilir,1.950618,100.825648,28911,3242977,658407,2138259677539,0.00699
147,26,Sumatera,Riau,Kabupaten,Rokan Hulu,Kabupaten Rokan Hulu,0.881609,100.655658,28557,3248333,582679,1891959564627,0.00618
148,26,Sumatera,Riau,Kabupaten,Siak,Kabupaten Siak,0.759398,101.923919,28763,3361913,477550,1606810417950,0.00525
149,27,Sulawesi,Sulawesi Barat,Kabupaten,Majene,Kabupaten Majene,-3.146651,118.912008,91411,2871794,177390,509648723860,0.00167
150,27,Sulawesi,Sulawesi Barat,Kabupaten,Mamasa,Kabupaten Mamasa,-2.989799,119.345682,91371,2871794,166471,478548860574,0.00156
151,27,Sulawesi,Sulawesi Barat,Kabupaten,Mamuju,Kabupaten Mamuju,-2.548926,118.909548,91511,2904645,285616,830900223520,0.00272
152,27,Sulawesi,Sulawesi Barat,Kabupaten,Mamuju Utara,Kabupaten Mamuju Utara,-1.498526,119.239087,91561,2904645,198608,577625667040,0.00189
153,27,Sulawesi,Sulawesi Barat,Kabupaten,Polewali Mandar,Kabupaten Polewali Mandar,-3.281948,119.336006,91311,2871794,490493,1409179351142,0.00461
154,27,Sulawesi,Sulawesi Barat,Kabupaten,Mamuju Tengah,Kabupaten Mamuju Tengah,-2.573133,119.363607,91512,2871794,140028,401104968712,0.00131
155,27,Sulawesi,Sulawesi Barat,Kabupaten,Pasangkayu,Kabupaten Pasangkayu,-1.502777,119.655733,91361,2871794,198608,570963431872,0.00187
156,28,Sulawesi,Sulawesi Selatan,Kabupaten,Bantaeng,Kabupaten Bantaeng,-5.516169,119.931403,92412,3384876,199399,674873600724,0.00221
157,28,Sulawesi,Sulawesi Selatan,Kabupaten,Barru,Kabupaten Barru,-4.231866,119.672071,90711,3384876,186910,632924514960,0.00207
158,28,Sulawesi,Sulawesi Selatan,Kabupaten,Bone,Kabupaten Bone,-4.826803,120.052518,92711,3384876,813188,2757180698888,0.00901
